Name,Address,Type,Description,Image_URL
"Liberty State Park","1 Audrey Zapp Dr, Jersey City, NJ 07305","Park","One of the best places in New Jersey to see the Statue of Liberty and the Manhattan skyline. It's peaceful and perfect for walking along the waterfront.",https://commons.wikimedia.org/wiki/Special:FilePath/Liberty_State_Park.jpg
"Liberty Science Center","222 Jersey City Blvd, Jersey City, NJ 07305","Cultural","A huge science museum with interactive exhibits and one of the biggest planetariums in the country. It's a fun place to explore and learn.",https://commons.wikimedia.org/wiki/Special:FilePath/Liberty_Science_Center.jpg
"Princeton University","Princeton, NJ 08544","School","One of the most beautiful college campuses in the country. Walking around the historic buildings and green spaces is always impressive.",https://commons.wikimedia.org/wiki/Special:FilePath/Princeton_University_Nassau_Hall.jpg
"Six Flags Great Adventure","1 Six Flags Blvd, Jackson Township, NJ 08527","Recreation","A massive amusement park known for huge roller coasters like Kingda Ka. It's one of the most exciting places to visit in New Jersey.",https://commons.wikimedia.org/wiki/Special:FilePath/Six_Flags_Great_Adventure.jpg
"Point Pleasant Beach","Point Pleasant Beach, NJ 08742","Recreation","A classic Jersey Shore beach with a boardwalk, rides, and great ocean views. It's a perfect summer destination.",https://commons.wikimedia.org/wiki/Special:FilePath/Point_Pleasant_Beach.jpg
"Grounds for Sculpture","80 Sculptors Way, Hamilton Township, NJ 08619","Cultural","A huge outdoor sculpture park filled with art installations and gardens. It's a peaceful place to walk and enjoy creative artwork.",https://upload.wikimedia.org/wikipedia/commons/3/3f/Grounds_for_Sculpture.jpg
"Branch Brook Park","Lake St, Newark, NJ 07104","Park","Famous for having more cherry blossom trees than Washington DC. During spring the park is covered in beautiful pink flowers.",https://upload.wikimedia.org/wikipedia/commons/4/40/Branch_Brook_Park.jpg
"American Dream Mall","1 American Dream Way, East Rutherford, NJ 07073","Shopping","One of the largest malls in the United States with indoor skiing, water parks, and endless stores.",https://upload.wikimedia.org/wikipedia/commons/2/23/American_Dream_Meadowlnds.jpg
"The Stone Pony","913 Ocean Ave, Asbury Park, NJ 07712","Historical","Legendary music venue where famous artists like Bruce Springsteen performed early in their careers.",https://upload.wikimedia.org/wikipedia/commons/0/05/Stone_Pony_Asbury_Park.jpg
"Asbury Park Boardwalk","1300 Ocean Ave, Asbury Park, NJ 07712","Recreation","A lively boardwalk with food, music, and beach views. It's one of the most iconic spots along the Jersey Shore.",https://upload.wikimedia.org/wikipedia/commons/7/70/Asbury_Park_Boardwalk.jpg